action,timestamp
Reactivated promotion: promotia mea de test (2025-06-05 → 2025-06-06),2025-06-05 09:55:52
Trainer added: alextrainer,2025-06-05 09:56:51
Trainer alextrainer updated their price to 100.0 RON,2025-06-05 09:57:08
Trainer alextrainer added class: prima ta clasa on 2025-06-12 at 13:00,2025-06-05 09:57:43
Member andramember changed subscription to: annual,2025-06-05 09:59:21
A member toggled its subscription status: Inactive,2025-06-05 09:59:41
Removed promotion: Spring Fit Blast,2025-06-05 10:01:11
Removed promotion: Summer Starter Pack,2025-06-05 10:01:13
Removed promotion: promotia mea de test,2025-06-05 10:01:15
Removed promotion: Spring Fit Blast,2025-06-05 10:01:16
Removed promotion: Summer Starter Pack,2025-06-05 10:01:18
Member andramember deleted their subscription,2025-06-05 10:01:51
New subscription created for member: andramember,2025-06-05 10:02:03
Assigned trainer Alex Trainer to member andramember,2025-06-05 10:02:35
Member andramember booked session with trainer testtrainer on 2025-06-05 at 11:00,2025-06-05 10:03:12
Member andramember booked session with trainer alextrainer on 2025-06-05 at 17:00,2025-06-05 10:04:38
Member andramember rated trainer alextrainer with 4 stars,2025-06-05 10:05:06
Trainer alextrainer deleted class: prima ta clasa,2025-06-05 10:05:56
Trainer deleted account: alextrainer,2025-06-05 10:06:03
Member deleted account: andramember,2025-06-05 10:07:06
Added promotion: promotia mea de test (20.0%),2025-06-05 11:33:55
Edited promotion: Promotieeeeee,2025-06-05 11:48:04
Edited promotion: Promotieeeeee,2025-06-05 11:48:05
Member registered: andramember,2025-06-05 11:49:46
Member andramember updated weight to 68.5,2025-06-05 11:50:46
New subscription created for member: andramember,2025-06-05 11:51:11
A member toggled its subscription status: Inactive,2025-06-05 11:51:45
Member andramember changed subscription to: monthly,2025-06-05 11:52:21
Trainer added: alextrainer,2025-06-05 11:53:35
Trainer alextrainer added class: tenis pentru incepatori on 2025-06-12 at 10:00,2025-06-05 11:56:28
Trainer alextrainer updated their price to 105.0 RON,2025-06-05 11:58:15
Member andramember deleted their subscription,2025-06-05 11:59:54
Assigned trainer Alex TrainerTest to member andramember,2025-06-05 12:01:13
Assigned trainer Test Trainer to member andramember,2025-06-05 12:01:22
Assigned trainer Alex TrainerTest to member andramember,2025-06-05 12:01:28
Removed trainer Alex TrainerTest from member andramember,2025-06-05 12:01:40
Assigned trainer Alex TrainerTest to member andramember,2025-06-05 12:01:45
Member andramember booked session with trainer testtrainer on 2025-06-11 at 19:00,2025-06-05 12:02:03
Member andramember booked session with trainer alextrainer on 2025-06-06 at 20:00,2025-06-05 12:02:45
Removed trainer Alex TrainerTest from member andramember,2025-06-05 12:08:30
Assigned trainer Alex TrainerTest to member andramember,2025-06-05 12:08:42
Removed trainer Alex TrainerTest from member andramember,2025-06-05 12:15:44
Removed trainer Alex TrainerTest from member andramember,2025-06-05 12:16:20
Member andramember booked session with trainer alextrainer on 2025-06-05 at 21:00,2025-06-05 12:17:31
Member andramember rated trainer alextrainer with 5 stars,2025-06-05 12:17:38
Trainer alextrainer deleted class: tenis pentru incepatori,2025-06-05 12:18:10
Member deleted account: andramember,2025-06-05 12:20:47
Trainer deleted account: alextrainer,2025-06-05 12:21:15
